date,home_team,away_team,result,season,result_code
2018-08-10,Man United,Leicester,H,PL_2018-2019,0
2018-08-11,Bournemouth,Cardiff,H,PL_2018-2019,0
2018-08-11,Fulham,Crystal Palace,A,PL_2018-2019,2
2018-08-11,Huddersfield,Chelsea,A,PL_2018-2019,2
2018-08-11,Newcastle,Tottenham,A,PL_2018-2019,2
2018-08-11,Watford,Brighton,H,PL_2018-2019,0
2018-08-11,Wolves,Everton,D,PL_2018-2019,1
2018-08-12,Arsenal,Man City,A,PL_2018-2019,2
2018-08-12,Liverpool,West Ham,H,PL_2018-2019,0
2018-08-12,Southampton,Burnley,D,PL_2018-2019,1
2018-08-18,West Ham,Bournemouth,A,PL_2018-2019,2
2018-08-18,Leicester,Wolves,H,PL_2018-2019,0
2018-08-18,Tottenham,Fulham,H,PL_2018-2019,0
2018-08-18,Chelsea,Arsenal,H,PL_2018-2019,0
2018-08-18,Cardiff,Newcastle,D,PL_2018-2019,1
2018-08-18,Everton,Southampton,H,PL_2018-2019,0
2018-08-19,Brighton,Man United,H,PL_2018-2019,0
2018-08-19,Burnley,Watford,A,PL_2018-2019,2
2018-08-19,Man City,Huddersfield,H,PL_2018-2019,0
2018-08-20,Crystal Palace,Liverpool,A,PL_2018-2019,2
2018-08-25,Arsenal,West Ham,H,PL_2018-2019,0
2018-08-25,Bournemouth,Everton,D,PL_2018-2019,1
2018-08-25,Huddersfield,Cardiff,D,PL_2018-2019,1
2018-08-25,Liverpool,Brighton,H,PL_2018-2019,0
2018-08-25,Southampton,Leicester,A,PL_2018-2019,2
2018-08-25,Wolves,Man City,D,PL_2018-2019,1
2018-08-26,Newcastle,Chelsea,A,PL_2018-2019,2
2018-08-26,Fulham,Burnley,H,PL_2018-2019,0
2018-08-26,Watford,Crystal Palace,H,PL_2018-2019,0
2018-08-27,Man United,Tottenham,A,PL_2018-2019,2
2018-09-01,Brighton,Fulham,D,PL_2018-2019,1
2018-09-01,Chelsea,Bournemouth,H,PL_2018-2019,0
2018-09-01,Crystal Palace,Southampton,A,PL_2018-2019,2
2018-09-01,Everton,Huddersfield,D,PL_2018-2019,1
2018-09-01,Leicester,Liverpool,A,PL_2018-2019,2
2018-09-01,Man City,Newcastle,H,PL_2018-2019,0
2018-09-01,West Ham,Wolves,A,PL_2018-2019,2
2018-09-02,Burnley,Man United,A,PL_2018-2019,2
2018-09-02,Cardiff,Arsenal,A,PL_2018-2019,2
2018-09-02,Watford,Tottenham,H,PL_2018-2019,0
2018-09-15,Watford,Man United,A,PL_2018-2019,2
2018-09-15,Tottenham,Liverpool,A,PL_2018-2019,2
2018-09-15,Man City,Fulham,H,PL_2018-2019,0
2018-09-15,Newcastle,Arsenal,A,PL_2018-2019,2
2018-09-15,Chelsea,Cardiff,H,PL_2018-2019,0
2018-09-15,Bournemouth,Leicester,H,PL_2018-2019,0
2018-09-15,Huddersfield,Crystal Palace,A,PL_2018-2019,2
2018-09-16,Everton,West Ham,A,PL_2018-2019,2
2018-09-16,Wolves,Burnley,H,PL_2018-2019,0
2018-09-17,Southampton,Brighton,D,PL_2018-2019,1
2018-09-22,Man United,Wolves,D,PL_2018-2019,1
2018-09-22,Brighton,Tottenham,A,PL_2018-2019,2
2018-09-22,Burnley,Bournemouth,H,PL_2018-2019,0
2018-09-22,Cardiff,Man City,A,PL_2018-2019,2
2018-09-22,Crystal Palace,Newcastle,D,PL_2018-2019,1
2018-09-22,Fulham,Watford,D,PL_2018-2019,1
2018-09-22,Leicester,Huddersfield,H,PL_2018-2019,0
2018-09-22,Liverpool,Southampton,H,PL_2018-2019,0
2018-09-23,West Ham,Chelsea,D,PL_2018-2019,1
2018-09-23,Arsenal,Everton,H,PL_2018-2019,0
2018-09-29,Arsenal,Watford,H,PL_2018-2019,0
2018-09-29,Chelsea,Liverpool,D,PL_2018-2019,1
2018-09-29,Everton,Fulham,H,PL_2018-2019,0
2018-09-29,Huddersfield,Tottenham,A,PL_2018-2019,2
2018-09-29,Man City,Brighton,H,PL_2018-2019,0
2018-09-29,Newcastle,Leicester,A,PL_2018-2019,2
2018-09-29,West Ham,Man United,H,PL_2018-2019,0
2018-09-29,Wolves,Southampton,H,PL_2018-2019,0
2018-09-30,Cardiff,Burnley,A,PL_2018-2019,2
2018-10-01,Bournemouth,Crystal Palace,H,PL_2018-2019,0
2018-10-05,Brighton,West Ham,H,PL_2018-2019,0
2018-10-06,Watford,Bournemouth,A,PL_2018-2019,2
2018-10-06,Tottenham,Cardiff,H,PL_2018-2019,0
2018-10-06,Man United,Newcastle,H,PL_2018-2019,0
2018-10-06,Leicester,Everton,A,PL_2018-2019,2
2018-10-06,Crystal Palace,Wolves,A,PL_2018-2019,2
2018-10-06,Burnley,Huddersfield,D,PL_2018-2019,1
2018-10-07,Fulham,Arsenal,A,PL_2018-2019,2
2018-10-07,Liverpool,Man City,D,PL_2018-2019,1
2018-10-07,Southampton,Chelsea,A,PL_2018-2019,2
2018-10-20,Bournemouth,Southampton,D,PL_2018-2019,1
