date,home_team,away_team,result,season,result_code
2015-01-10,So,Wojtaszek,D,2015,0
2015-01-10,Ding Liren,Caruana,A,2015,-1
2015-01-10,Ivanchuk,Jobava,H,2015,1
2015-01-10,Giri,Carlsen,D,2015,0
2015-01-11,Vitiugov,Ponomariov,D,2015,0
2015-01-11,Aronian,Giri,D,2015,0
2015-01-11,Radjabov,Ivanchuk,D,2015,0
2015-01-11,Jobava,MVL,D,2015,0
2015-01-11,Carlsen,So,D,2015,0
2015-01-12,MVL,Radjabov,D,2015,0
2015-01-12,Ding Liren,Jobava,H,2015,1
2015-01-12,Wojtaszek,Carlsen,H,2015,1
2015-01-12,So,Aronian,H,2015,1
2015-01-12,Giri,Caruana,D,2015,0
2015-01-13,Radjabov,Ding Liren,A,2015,-1
2015-01-13,Ivanchuk,MVL,H,2015,1
2015-01-13,Caruana,So,D,2015,0
2015-01-13,Aronian,Wojtaszek,D,2015,0
2015-01-15,Wojtaszek,Caruana,H,2015,1
2015-01-15,Giri,Jobava,H,2015,1
2015-01-15,Ding Liren,Ivanchuk,D,2015,0
2015-01-15,Carlsen,Aronian,H,2015,1
2015-01-16,MVL,Ding Liren,H,2015,1
2015-01-16,Radjabov,Giri,D,2015,0
2015-01-16,Jobava,So,A,2015,-1
2015-01-16,Caruana,Carlsen,A,2015,-1
2015-01-17,Giri,Ivanchuk,D,2015,0
2015-01-17,Aronian,Caruana,D,2015,0
2015-01-17,Wojtaszek,Jobava,A,2015,-1
2015-01-17,So,Radjabov,D,2015,0
2015-01-18,MVL,Giri,H,2015,1
2015-01-18,Radjabov,Wojtaszek,H,2015,1
2015-01-18,Jobava,Carlsen,A,2015,-1
2015-01-18,Ivanchuk,So,A,2015,-1
2015-01-20,Aronian,Jobava,H,2015,1
2015-01-20,Carlsen,Radjabov,H,2015,1
2015-01-20,So,MVL,D,2015,0
2015-01-20,Wojtaszek,Ivanchuk,D,2015,0
2015-01-20,Giri,Ding Liren,H,2015,1
2015-01-21,MVL,Wojtaszek,D,2015,0
2015-01-21,Radjabov,Aronian,D,2015,0
2015-01-21,Jobava,Caruana,A,2015,-1
2015-01-21,Ivanchuk,Carlsen,D,2015,0
2015-01-21,Ding Liren,So,D,2015,0
2015-01-23,Carlsen,MVL,D,2015,0
2015-01-23,Aronian,Ivanchuk,D,2015,0
2015-01-23,Wojtaszek,Ding Liren,A,2015,-1
2015-01-23,Caruana,Radjabov,D,2015,0
2015-01-24,MVL,Aronian,D,2015,0
2015-01-24,Ivanchuk,Caruana,D,2015,0
2015-01-24,Giri,So,H,2015,1
2015-01-24,Ding Liren,Carlsen,D,2015,0
2015-01-25,Wojtaszek,Giri,D,2015,0
2015-01-25,Jobava,Radjabov,H,2015,1
2015-01-25,Caruana,MVL,A,2015,-1
2015-01-25,Aronian,Ding Liren,A,2015,-1
2015-01-30,Fressinet,Giri,D,2015,0
2015-01-31,Adams,Giri,D,2015,0
2015-02-01,Nakamura,Topalov,H,2015,1
2015-02-01,Fressinet,Adams,D,2015,0
2015-02-02,Caruana,Anand,D,2015,0
2015-02-02,Aronian,Carlsen,D,2015,0
2015-02-02,Adams,Naiditsch,D,2015,0
2015-02-03,Nakamura,Yu Yangyi,H,2015,1
2015-02-03,Rapport,Jakovenko,D,2015,0
2015-02-03,Carlsen,Adams,H,2015,1
2015-02-03,Caruana,Bacrot,D,2015,0
2015-02-03,Anand,Naiditsch,D,2015,0
2015-02-04,Naiditsch,Carlsen,H,2015,1
2015-02-04,Bacrot,Anand,D,2015,0
2015-02-04,Aronian,Caruana,A,2015,-1
2015-02-05,Nakamura,Harikrishna,D,2015,0
2015-02-06,Caruana,Adams,D,2015,0
2015-02-06,Bacrot,Aronian,D,2015,0
2015-02-06,Anand,Carlsen,A,2015,-1
2015-02-07,Naiditsch,Caruana,D,2015,0
2015-02-07,Aronian,Anand,H,2015,1
2015-02-07,Adams,Bacrot,D,2015,0
2015-02-08,Caruana,Carlsen,D,2015,0
2015-02-08,Bacrot,Naiditsch,D,2015,0
2015-02-08,Aronian,Adams,D,2015,0
2015-02-09,Adams,Anand,H,2015,1
2015-02-09,Naiditsch,Aronian,D,2015,0
2015-02-09,Carlsen,Bacrot,D,2015,0
2015-02-14,Caruana,Nakamura,A,2015,-1
2015-02-14,Aronian,Karjakin,D,2015,0
2015-02-14,Anand,Kramnik,D,2015,0
2015-02-15,MVL,Mamedyarov,A,2015,-1
2015-02-15,Svidler,Giri,A,2015,-1
2015-02-15,Kasimdzhanov,Grischuk,A,2015,-1
2015-02-15,Dominguez Perez,Radjabov,D,2015,0
2015-02-15,Andreikin,Jakovenko,D,2015,0
2015-02-15,Kramnik,Nakamura,D,2015,0
2015-02-15,Karjakin,Caruana,D,2015,0
2015-02-15,Anand,Aronian,H,2015,1
2015-02-16,Aronian,Kramnik,D,2015,0
2015-02-16,Caruana,Anand,D,2015,0
2015-02-16,Nakamura,Karjakin,H,2015,1
2015-02-16,Dominguez Perez,Svidler,D,2015,0
2015-02-16,Giri,MVL,D,2015,0
2015-02-16,Grischuk,Andreikin,D,2015,0
2015-02-16,Jakovenko,Tomashevsky,D,2015,0
2015-02-16,Mamedyarov,Kasimdzhanov,A,2015,-1
2015-02-17,MVL,Dominguez Perez,D,2015,0
2015-02-17,Tomashevsky,Grischuk,H,2015,1
2015-02-17,Svidler,Radjabov,D,2015,0
2015-02-17,Kasimdzhanov,Giri,D,2015,0
2015-02-17,Andreikin,Mamedyarov,A,2015,-1
2015-02-17,Kramnik,Karjakin,D,2015,0
2015-02-17,Aronian,Caruana,D,2015,0
2015-02-17,Anand,Nakamura,H,2015,1
2015-02-18,Caruana,Kramnik,D,2015,0
2015-02-18,Nakamura,Aronian,D,2015,0
2015-02-18,Dominguez Perez,Kasimdzhanov,D,2015,0
2015-02-18,Karjakin,Anand,D,2015,0
2015-02-18,Mamedyarov,Tomashevsky,A,2015,-1
2015-02-18,Radjabov,Jakovenko,D,2015,0
2015-02-18,Svidler,MVL,D,2015,0
2015-02-18,Giri,Andreikin,D,2015,0
2015-02-20,MVL,Radjabov,D,2015,0
2015-02-20,Tomashevsky,Giri,D,2015,0
2015-02-20,Kasimdzhanov,Svidler,H,2015,1
